Pick,Player
1.1 (1),Christian McCaffrey · RB · (CAR)
2.12 (24),Kenny Golladay · WR · (FA)
3.1 (25),Courtland Sutton · WR · (DEN)
4.12 (48),Tyler Lockett · WR · (SEA)
5.1 (49),D.J. Chark · WR · (JAX)
6.12 (72),Antonio Gibson · RB · (WAS)
7.1 (73),Will Fuller · WR · (HOU)
8.12 (96),Diontae Johnson · WR · (PIT)
9.1 (97),Darrell Henderson · RB · (LAR)
10.12 (120),T.J. Hockenson · TE · (DET)
11.1 (121),Aaron Rodgers · QB · (GB)
12.12 (144),Nyheim Hines · RB · (IND)
13.1 (145),Damien Harris · RB · (FA)
14.12 (168),Ryquell Armstead · RB · (FA)
15.1 (169),Los Angeles Chargers · DEF · (LAC)
1.2 (2),Saquon Barkley · RB · (NYG)
2.11 (23),Amari Cooper · WR · (DAL)
3.2 (26),Patrick Mahomes · QB · (KC)
4.11 (47),David Montgomery · RB · (CHI)
5.2 (50),Stefon Diggs · WR · (BUF)
6.11 (71),Jordan Howard · RB · (MIA)
7.2 (74),J.K. Dobbins · RB · (BAL)
8.11 (95),Christian Kirk · WR · (ARI)
9.2 (98),Jerry Jeudy · WR · (DEN)
10.11 (119),Hayden Hurst · TE · (ATL)
11.2 (122),N'Keal Harry · WR · (NE)
12.11 (143),Justin Jackson · RB · (LAC)
13.2 (146),Jared Goff · QB · (LAR)
14.11 (167),Minnesota Vikings · DEF · (MIN)
15.2 (170),Blake Jarwin · TE · (DAL)
1.4 (4),Alvin Kamara · RB · (NO)
2.9 (21),Chris Godwin · WR · (TB)
3.4 (28),Calvin Ridley · WR · (ATL)
4.9 (45),Chris Carson · RB · (SEA)
5.4 (52),Jonathan Taylor · RB · (IND)
6.9 (69),Marquise Brown · WR · (BAL)
7.4 (76),Darren Waller · TE · (LV)
8.9 (93),Matt Breida · RB · (MIA)
9.4 (100),Darius Slayton · WR · (NYG)
10.9 (117),Tom Brady · QB · (TB)
11.4 (124),Boston Scott · RB · (PHI)
12.9 (141),Brandon Aiyuk · WR · (SF)
13.4 (148),Jalen Reagor · WR · (PHI)
14.9 (165),New Orleans Saints · DEF · (NO)
15.4 (172),Joe Burrow · QB · (CIN)
1.8 (8),Josh Jacobs · RB · (LV)
2.5 (17),Austin Ekeler · RB · (LAC)
3.8 (32),George Kittle · TE · (SF)
4.5 (41),JuJu Smith-Schuster · WR · (PIT)
5.8 (56),Jarvis Landry · WR · (CLE)
6.5 (65),Tyler Boyd · WR · (CIN)
7.8 (80),Deshaun Watson · QB · (HOU)
8.5 (89),Evan Engram · TE · (NYG)
9.8 (104),Robbie Chosen · WR · (CAR)
10.5 (113),John Brown · WR · (BUF)
11.8 (128),Tony Pollard · RB · (DAL)
12.5 (137),Sony Michel · RB · (NE)
13.8 (152),Michael Pittman · WR · (IND)
14.5 (161),Baltimore Ravens · DEF · (BAL)
15.8 (176),Kirk Cousins · QB · (MIN)
1.10 (10),Miles Sanders · RB · (CAR)
2.3 (15),Aaron Jones · RB · (GB)
3.10 (34),Allen Robinson · WR · (CHI)
4.3 (39),Robert Woods · WR · (LAR)
5.10 (58),Cam Akers · RB · (LAR)
6.3 (63),Terry McLaurin · WR · (WAS)
7.10 (82),Deebo Samuel · WR · (SF)
8.3 (87),Sterling Shepard · WR · (NYG)
9.10 (106),Tevin Coleman · RB · (SF)
10.3 (111),DeSean Jackson · WR · (PHI)
11.10 (130),Latavius Murray · RB · (NO)
12.3 (135),Chris Thompson · RB · (JAX)
13.10 (154),Chris Herndon · TE · (NYJ)
14.3 (159),Ben Roethlisberger · QB · (PIT)
15.10 (178),Chicago Bears · DEF · (CHI)
1.12 (12),Joe Mixon · RB · (CIN)
2.1 (13),Davante Adams · WR · (GB)
3.12 (36),Odell Beckham · WR · (CLE)
4.1 (37),Todd Gurley · RB · (ATL)
5.12 (60),DK Metcalf · WR · (SEA)
6.1 (61),Raheem Mostert · RB · (SF)
7.12 (84),James White · RB · (NE)
8.1 (85),Duke Johnson · RB · (HOU)
9.12 (108),CeeDee Lamb · WR · (DAL)
10.1 (109),Rob Gronkowski · TE · (TB)
11.12 (132),Carson Wentz · QB · (PHI)
12.1 (133),Drew Brees · QB · (NO)
13.12 (156),Sammy Watkins · WR · (KC)
14.1 (157),Tampa Bay Buccaneers · DEF · (TB)
15.12 (180),Ke'Shawn Vaughn · RB · (FA)