sleeper_id,espn_member
331590801261883392,stallions
396808818157182976,ffuckedup
398574272387297280,devils
398576262546735104,beers
467404039059927040,--malibu
470715135581745152,--pottsville
705642514408886272,--darkknights
710981985102802944,flb
727368657923063808,bread
729741648338210816,picks
798327505219096576,--tko
860973514839199744,--showbiz
862142522036703232,--boca
84604928349585408,--teddy
398552306884345856,--corey
578691097983754240,--mustache
602712418325442560,--riveters
804551335088361472,--crawfordsville
821067488811909120,--legendsrise
856248808915480576,--tooth
864966364937461760,--nighthawks
865078270985629696,--gaston
84006772809285632,mmen
325766631336714240,swaggy
386791325690994688,aztecs
462383465753473024,rhinos
465884883869233152,camdelphia
507633950666584064,guapo
508719015656099840,pancake
527884868880531456,cats
726572095210930176,doge
731211092713402368,doge
639877229681147904,--hate
664739261735591936,--cenation
715362669380591616,--zboser
727366898383122432,bandits
865323291064291328,--headcow
1124071986805829632,--odin
1133491276038426624,--bucky
1133492104077946880,--shadynasty
399322397750124544,jacamart
472876832719368192,stark
399297882890440704,tcool
467553389673181184,strikers
599711204499312640,--drixxle
739275676649144320,--birds
563223565497249792,--bstar
1003144735223099392,--dewdoc
726584695151734784,--ducklings
729571025750208512,--chet
399379352174768128,scsi