current,past1,past2,past3
Act More Stupidly,Goat Emoji,Goat Emoji II,
Fort Wayne Banana Bread,Oklahoma Banana Bread,Wisconsin Banana Bread,
Raging Rhinos,Currier Island Raging Rhinos,,
Big Ten Bandits,Disney's PigskinSlingers,,
Durham Handsome Devils,Atlanta Handsome Devils,Durham Actually Ugly Devils,
Circle City Phantoms,Bailando Cabras,Elm Street Skywalkers,
Stone Cold Steve Irwins,CreamOfTheCrop Macho Men,,
Team Jacamart,Great Team Name,,
Team CamDelphia,Always Sunny in Camdelphia,CamDelphia,
Dark Knights,Purple Parade,,
Shton's Strikers,Browntown,,
"Blood, Sweat, and Beers","Blood, Sweat and Beers",,